videoId,title,description,publishedAt
2mEEtABCVVg,グーパー猫,猫アメショーです。。 この子はお腹を触ると気持ちよくて前足をグーパーグーパーするのです。。カワイイ。。。 友だちの家の猫なんですが。。 おとなしくて人懐こくて最高です。。,2008-06-11T16:25:18Z
ecRSQueIbqo,全開ブルンブルン。。体幹編。。。,自動車トレーニングその２。。 車を横スライドさせて。。 体幹を。。 ガッチリ鍛えます。。。 恐ろしい負荷がかかるので。。 素人の皆様は控えてください。。 プロの方は慎重に。。,2008-08-06T07:01:34Z
STgEk8OBnww,全開ブルンブルン。。。,最近は。。 自動車を使ったトレーニングが。。 武井のブームです。。。 あぁ。。気持ちいぃ。。。,2008-08-06T06:58:24Z
ZX9PoQfe2L0,全開おかえりなさい。。,イギリスで借りてるお家で。。 バーベキュー食いすぎたので。。。 食後の運動をしてました。。,2008-07-19T20:17:25Z
-7mOTrVvbvI,全開肩甲骨。。。,僕の肩甲骨は。。 いろんなモノを握れます。。 またタマゴくらいなら潰せます。。。 自由の動くので。。 おにぎりくらいは作れそうです。。 子供の頃。。 ジャッキーとブルースリー ...,2008-10-22T20:07:09Z
GXgFmnw3iA0,武井壮の１００m自己ベスト動画,１９９７年日本インカレ 10種競技優勝７５００点 １種目目１００m１０”５４ トップでゴールしているのが武井壮です.,2011-04-07T15:59:47Z
blOq0O2VQeM,全開ハンマー。。,全開でハンマーを振り下ろして。。 全身を鍛えるのさ。。 8キロね。。 男子ならこのくらいがーちょーどいー。。,2011-05-13T20:48:16Z
fw8c5g2H0xU,携帯電話からの動画,携帯電話からアップロードした動画.,2011-04-07T15:55:08Z
APAWrAlvRbs,武井壮VSリキシャ（インドタクシー）,インドではオレより足の速い奴が見つからなかった。。 無敗のオレはインドのタクシーから飛び降りて。。 運転手に挑戦状を叩きつけてやった。。。,2012-04-21T11:40:47Z
MKlFImtV-uM,全開ハンマー,全力でぶっ叩く。。それだけだ。。。。 男ならやっとけ。。,2012-04-30T08:50:01Z
NXw2H1tjYQc,全開サカダーツ。。,オレは逆立ちでもカウントアップ300点はイケる。。。,2012-04-30T08:59:07Z
rRKYqjSecwQ,スクワットジャンプ,仕事が詰まってて重い物が身の回りに無い状況に耐えかねて。。つい冷蔵庫を。。 中身がグワングワンになって叱られた。。。 でも。。 下半身強くなってるからチャラだと思う ...,2012-07-06T18:38:56Z
gbP1h3CFtd8,ボウラード,10月5日.,2017-10-05T16:22:38Z
6mMqDGzE3rA,魔法の動き,トレーニングの時間のない時 部屋でとにかくスピードもスタミナも失いたくない時 この動きさえしとけばどちらを育てることも可能な 魔法の動き とりあえずやっとけ 解説はまた ...,2020-05-13T01:00:12Z
k_5h3S2Zdhg,武井壮の　『オトナの育て方』,武井壮のスポーツとの出会いから、スポーツを通して社会的な価値を生むための思考を紹介した講演 お子さんにスポーツをさせたいお父さんお母さん是非ご覧ください ...,2020-04-28T16:45:11Z
1ToqjGOvC4E,魔法の動きパート２,見たままやってもいいが気をつけてくれ とにかくやってみろとは言えないが 完コピできたらなかなか素敵な能力が身につくぜ ♦︎YouTubeでのコラボやYouTubeでのお仕事 ...,2020-05-29T10:30:56Z
dMQRF5IGHvY,桐生祥秀　その速さの秘密,日本人初の９秒台を記録した桐生祥秀 彼の走りの秘密、成長の秘密に迫りました ♦︎YouTubeでのコラボやYouTubeでのお仕事のご相談は zenkaiman@gmail.com ...,2020-05-07T12:15:45Z
RGpR404Wm00,武井壮動物園に展示されてみた,百獣の王への道に避けては通れねえ場所がある。。。 一匹の動物として動物園に展示されたい。。 動物の立場に立って人間として生きる自分の世界を眺めたい。。 そこから ...,2020-04-26T22:38:51Z
G7Ge4mBRZxs,武井壮の体調管理法その１,アスリート必見の体調管理法です 自己ベストを出すためのコンディション管理法 『その日』に狙って自己ベストを出すには どんな知識が必要なのか？ 簡単に説明しました ...,2020-06-06T14:00:11Z
Zf9fW5lvOek,コロナの倒し方,みんなでコロナウイルスをぶっ倒そうぜ！！,2020-04-17T11:13:37Z
iBpJ5JJNORg,武井壮ビリヤード大会開くってよ！！,初級者向けのゲーム ボウラードを解説しつつプレー みんな武井杯に備えろ！！！,2020-05-20T13:15:10Z
_j0bOepGIDI,武井壮のスポーツの攻略法,様々なスポーツをプレーし 短期間で高いレベルの記録を残すためには？ 短期間で他の選手に追い付いて追い越すために必要なことは？？ 今回は陸上競技の十種競技を例 ...,2020-05-14T09:00:12Z
YvhpwabK12k,武井壮と自宅でエクササイズ！！,『武井壮の自宅でできるエクササイズ』 みなさんもいけそうなのあったらやってみてね 体の弱い人は重いもの持ったり逆さにはならないようにね！！ さあみんなもはじめよーう ...,2020-06-02T12:00:13Z
ZohmCn6g1Hc,武井壮の雑談　兄・武井情編,武井壮の兄・情が武井壮に残したものは そんなお話です 世界なんだコレ！？ミステリーの放送で たくさんのメッセージをもらったの お話ししてみました.,2020-06-03T14:00:11Z
LBk9sSnd9iE,乃木坂46の攻略法,武井壮の元に届く『乃木坂46は倒せないんですよねw』 という膨大なメッセージ 20000戦無敗の百獣の王の肩書きを守るため 武井壮が立ち上がった 乃木坂46の攻略法 ...,2020-06-11T11:00:28Z
hLn2BEW5o5E,武井壮クラシック　走幅跳編,1997年日本選手権優勝時の 走幅跳ベスト7m19 技術練習しないで現地で幅跳び選手の跳躍見て 真似したらベスト出たうひょー ♦︎YouTubeでのコラボやYouTubeでのお ...,2020-05-27T15:45:11Z
WnpHYTn2OW0,武井壮classic　1997年日本選手権十種競技400m48”02,十種競技では初日の５種目目にあるのがこの400m 100m、走幅跳、砲丸投、走高跳を終えて 疲労全開の身体のエネルギーを振り絞って走ります 皆さんも是非人生で一度 ...,2020-05-04T06:29:03Z
3tdn0sNyVCo,武井壮のボウラードチャレンジ,果たして武井壮は何点取れるのか！？ プロテストのボーダーラインは210点！！！ みんなもチャレンジ！！！！,2020-05-26T15:00:12Z
1bx2NfhZXNM,武井壮　４７歳の機能,武井壮の体内に備わる機能！！ その一部を一気見してくれ！！！ ♦︎YouTubeでのコラボやYouTubeでのお仕事のご相談は zenkaiman@gmail.com YouTube担当 ...,2020-05-18T03:00:25Z
Puw-kzdv6UI,武井壮の芸能界攻略法　個人スキル編,芸能人になる！！そのために武井壮がとった最初の戦略とは！？ 芸能界で必要な個人スキルを獲得する最短距離をご紹介！！ ♦︎YouTubeでのコラボやYouTubeでのお ...,2020-05-16T09:00:13Z
7AG5WymWFs8,『武井壮の究極の技術』プロ野球・内川聖一編,武井壮がこれまで取材や対戦を通して知り得た トップアスリートの技術に関する話をここだけで お届けする新コーナーでございます 今回はベイスターズやホークスで活躍し 7 ...,2020-06-22T14:00:14Z
FQkoDaLItFk,武井壮のフリップ芸　最強の生物室伏編,物事を一部分だけ見ていてはその本質は見えないシリーズ 物事は時には引いて、時には寄って、時には振り返って 見なければその本質は見えてこないものなんです どうぞ ...,2020-05-30T14:30:10Z
hlL0iYfgQGU,1997年日本選手権100m　ZOOM,100mの映像が悪過ぎてアップにしてくれという オファーが多かったので載せておきます フォームはこちらの方が見やすいかな.,2020-05-04T20:45:36Z
HNayytyCoso,タイのスターSTAMPがやってきた！後編,タイのスターSTAMPと熱唱！！ STAMPの大ヒット曲を弾き語り！！！！ これでみんなもタイで人気者に！！！ 是非ご覧下さい！,2020-05-28T10:00:13Z
jv--ccm5_d8,れーと先生が武井壮をVFXしてみた！！！！,あの人気クリエイター！ れーと先生が武井壮をVFXしたらこんなことになってしまった！！ 爆発！銃撃！！ビームに閃光！！！ 様々な映像効果で武井壮がパワーアップ！,2020-06-14T15:48:54Z
Xq2-Y48OEh0,武井壮の攻略法・ゴルフ有村智恵編！！,ゴルフファン必見！ 有村智恵プロがコースで何を考えているのか！？ 何を見ているのか！？どうやって判断しているのか！？ どうショットしてるのか？アプローチは？,2020-06-20T11:00:12Z
jybYWIIftGg,タイのスターSTAMPがやってきた！,タイで国民的な人気の歌手STAMPが 日本にやって来るということで 武井壮がおもてなし！！ タイのスターも日本のあのアイドルが大好きだった！！ STAMPさん ...,2020-05-24T03:00:12Z
Cbz72Pf-29M,ボウラードチャレンジ　その２,４〜６フレーム 果たして何点取れるのか！？ 武井壮がビリヤードのプロテスト種目に ガチチャレンジ！！！ お楽しみに！！！,2020-05-27T03:00:13Z
cPSK6R6Vl24,YouTubeライブ初配信,ポメラニアン ハリネズミ サニブラウン 小島瑠璃子 ヒカキン の倒し方が公開されています 非公開にすべきか悩んでいます.,2020-05-21T14:33:45Z
RNNoOiLgIw0,新コーナー『武井壮の地球の話』,ラジオ感覚で聞いていただく長時間動画付音声です 第一回のゲストは BKBでお馴染みバイク川崎バイクです みなさん是非 ♦︎YouTubeでのコラボやYouTubeでのお仕事 ...,2020-06-16T08:00:12Z
Qr1XkuwyVPA,武井壮のCD・DVDコレクション,,2020-06-07T15:59:10Z
